                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7065,                0.80626,                 1.0522,                0.95359,                0.92947,                0.94083,                0.75082,                0.85575,                 1.1019,                  1.312,             0.00057925,             0.00057925,             0.00057925
                     36,                0.67375,                0.79203,                 1.0263,                0.98218,                 0.9375,                0.94143,                0.73839,                0.89001,                 1.0407,                 1.3205,             0.00056687,             0.00056687,             0.00056687
                     37,                0.66026,                0.78137,                 1.0161,                0.98134,                 0.9375,                0.94292,                0.75885,                0.94163,                 1.0333,                 1.3408,              0.0005545,              0.0005545,              0.0005545
                     38,                0.62598,                0.75881,                  1.029,                0.95761,                 0.9375,                0.93434,                0.73682,                0.97388,                 1.0758,                 1.3969,             0.00054212,             0.00054212,             0.00054212
                     39,                0.62345,                 0.7342,                 1.0172,                0.95395,                0.93082,                0.93437,                0.71091,                 1.0389,                 1.0791,                 1.4819,             0.00052975,             0.00052975,             0.00052975
                     40,                0.64297,                0.73298,                 1.0106,                0.96599,                 0.9375,                0.93395,                0.73034,                0.91344,                 1.0287,                 1.3367,             0.00051737,             0.00051737,             0.00051737
                     41,                0.62075,                0.76219,                 1.0184,                0.88234,                  0.875,                0.89491,                 0.7449,                0.88382,                  1.018,                 1.2762,               0.000505,               0.000505,               0.000505
                     42,                0.62051,                0.76085,                 0.9844,                0.89006,                0.89587,                0.92004,                0.73233,                0.93203,                 1.0278,                 1.2735,             0.00049263,             0.00049263,             0.00049263
                     43,                0.64518,                0.74691,                 1.0197,                0.89478,                0.89439,                0.95259,                0.76699,                0.83909,                0.99048,                 1.2234,             0.00048025,             0.00048025,             0.00048025
                     44,                0.58176,                0.71793,                0.97752,                0.96599,                0.98361,                  0.995,                0.76354,                0.81297,                0.97835,                 1.2379,             0.00046788,             0.00046788,             0.00046788
                     45,                0.57591,                0.67992,                0.98995,                0.93308,                0.98487,                  0.995,                0.76543,                0.79472,                0.95292,                 1.2358,              0.0004555,              0.0004555,              0.0004555
                     46,                0.58118,                 0.7236,                 1.0049,                 0.9096,                      1,                 0.9825,                0.78773,                0.74579,                 0.9139,                 1.1841,             0.00044312,             0.00044312,             0.00044312
                     47,                0.60572,                0.70125,                0.99816,                0.91293,                      1,                 0.9825,                0.79215,                0.70705,                  0.949,                 1.1384,             0.00043075,             0.00043075,             0.00043075
